id,name,Internal Reference,active,sale_ok,purchase_ok,list_price,standard_price,type,barcode,Brand,Model,Color,Size,categ_id,Image 1,Image 2
E-ADD-F10-506060-5219,Adidas F10 506060,E-ADD-F10-506060-5219,1,1,1,40,60,Stockable,E-ADD-F10-506060-5219,Adidas,F10,506060,52-19,E,e-add-f10-506060_00.jpg,e-add-f10-506060_01.jpg
E-ADD-F12-406054-5118,Adidas F12 406054,E-ADD-F12-406054-5118,1,1,1,40,60,Stockable,E-ADD-F12-406054-5118,Adidas,F12,406054,51-18,E,e-add-f12-406054_00.jpg,e-add-f12-406054_01.jpg
E-ADD-F12-406054-5318,Adidas F12 406054,E-ADD-F12-406054-5318,1,1,1,40,60,Stockable,E-ADD-F12-406054-5318,Adidas,F12,406054,53-18,E,e-add-f12-406054_00.jpg,e-add-f12-406054_01.jpg
E-ADD-F12-406055-5318,Adidas F12 406055,E-ADD-F12-406055-5318,1,1,1,40,60,Stockable,E-ADD-F12-406055-5318,Adidas,F12,406055,53-18,E,e-add-f12-406055_00.jpg,e-add-f12-406055_01.jpg
E-ADD-F12-406055-58818,Adidas F12 406055,E-ADD-F12-406055-58818,1,1,1,40,60,Stockable,E-ADD-F12-406055-58818,Adidas,F12,406055,58-18,E,e-add-f12-406055_00.jpg,e-add-f12-406055_01.jpg
E-ADD-F12-505056-5118,Adidas F12 505056,E-ADD-F12-505056-5118,1,1,1,40,60,Stockable,E-ADD-F12-505056-5118,Adidas,F12,505056,51-18,E,e-add-f12-505056_00.jpg,e-add-f12-505056_01.jpg
E-ADD-F13-406055-5218,Adidas F13 406055,E-ADD-F13-406055-5218,1,1,1,40,60,Stockable,E-ADD-F13-406055-5218,Adidas,F13,406055,52-18,E,e-add-f13-406055_00.jpg,e-add-f13-406055_01.jpg
E-ADD-F13-406055-5418,Adidas F13 406055,E-ADD-F13-406055-5418,1,1,1,40,60,Stockable,E-ADD-F13-406055-5418,Adidas,F13,406055,54-18,E,e-add-f13-406055_00.jpg,e-add-f13-406055_01.jpg
E-ADD-F13-506056-5218,Adidas F13 506056,E-ADD-F13-506056-5218,1,1,1,40,60,Stockable,E-ADD-F13-506056-5218,Adidas,F13,506056,52-18,E,e-add-f13-506056_00.jpg,e-add-f13-506056_01.jpg
E-ADD-F13-506056-5418,Adidas F13 506056,E-ADD-F13-506056-5418,1,1,1,40,60,Stockable,E-ADD-F13-506056-5418,Adidas,F13,506056,54-18,E,e-add-f13-506056_00.jpg,e-add-f13-506056_01.jpg
